,C,D,timestamp,sample_number,ads_status,ads_gpio,loff_statn,loff_statp,extra,channel_data,data_hex,data_raw
0,200,"b'\x97\x06c\x11\x01\x00\x00\x00\xc0\x00\x00\xfd)\x1c\xd6\xaew\xfc\xda\x04\xfe\x1a,\xfe\x95w\xfe\xb3\xdb\xff\x7f\x15\xfb\xf8\xdc'",291702423,1,12582912,0,0,0,12,"[-186084, -2707849, -206332, -124372, -92809, -85029, -33003, -263972]",97:06:63:11:01:00:00:00:c0:00:00:fd:29:1c:d6:ae:77:fc:da:04:fe:1a:2c:fe:95:77:fe:b3:db:ff:7f:15:fb:f8:dc,"b'\x97\x06c\x11\x01\x00\x00\x00\xc0\x00\x00\xfd)\x1c\xd6\xaew\xfc\xda\x04\xfe\x1a,\xfe\x95w\xfe\xb3\xdb\xff\x7f\x15\xfb\xf8\xdc'"
1,200,b'7\x16c\x11\x02\x00\x00\x00\xc0\x00\x00\xfd\x1b\xe2\xd6\xa2\xe2\xfc\xd7a\xfe\x14\xc8\xfe\x93}\xfe\xac\xea\xff{\xdc\xfb\xed/',291706423,2,12582912,0,0,0,12,"[-189470, -2710814, -207007, -125752, -93315, -86806, -33828, -266961]",37:16:63:11:02:00:00:00:c0:00:00:fd:1b:e2:d6:a2:e2:fc:d7:61:fe:14:c8:fe:93:7d:fe:ac:ea:ff:7b:dc:fb:ed:2f,b'7\x16c\x11\x02\x00\x00\x00\xc0\x00\x00\xfd\x1b\xe2\xd6\xa2\xe2\xfc\xd7a\xfe\x14\xc8\xfe\x93}\xfe\xac\xea\xff{\xdc\xfb\xed/'
2,200,b'\xd3%c\x11\x03\x00\x00\x00\xc0\x00\x00\xfd\x19\xa3\xd6\x88\xf8\xfc\xdb\xb5\xfe\x15\xe1\xfe\x98\x88\xfe\xab\xcf\xff~4\xfb\xf2W',291710419,3,12582912,0,0,0,12,"[-190045, -2717448, -205899, -125471, -92024, -87089, -33228, -265641]",d3:25:63:11:03:00:00:00:c0:00:00:fd:19:a3:d6:88:f8:fc:db:b5:fe:15:e1:fe:98:88:fe:ab:cf:ff:7e:34:fb:f2:57,b'\xd3%c\x11\x03\x00\x00\x00\xc0\x00\x00\xfd\x19\xa3\xd6\x88\xf8\xfc\xdb\xb5\xfe\x15\xe1\xfe\x98\x88\xfe\xab\xcf\xff~4\xfb\xf2W'
3,200,b'r5c\x11\x04\x00\x00\x00\xc0\x00\x00\xfd!\x9e\xd6vs\xfc\xe7\x1c\xfe\x1d1\xfe\xa4>\xfe\xb1A\xff\x86\xa8\xfb\xfa&',291714418,4,12582912,0,0,0,12,"[-188002, -2722189, -202980, -123599, -89026, -85695, -31064, -263642]",72:35:63:11:04:00:00:00:c0:00:00:fd:21:9e:d6:76:73:fc:e7:1c:fe:1d:31:fe:a4:3e:fe:b1:41:ff:86:a8:fb:fa:26,b'r5c\x11\x04\x00\x00\x00\xc0\x00\x00\xfd!\x9e\xd6vs\xfc\xe7\x1c\xfe\x1d1\xfe\xa4>\xfe\xb1A\xff\x86\xa8\xfb\xfa&'
4,200,b'\x12Ec\x11\x05\x00\x00\x00\xc0\x00\x00\xfd\x19V\xd6Vu\xfc\xe7\xa7\xfe\x1a\xf9\xfe\xa6\xc7\xfe\xafe\xff\x859\xfb\xf8P',291718418,5,12582912,0,0,0,12,"[-190122, -2730379, -202841, -124167, -88377, -86171, -31431, -264112]",12:45:63:11:05:00:00:00:c0:00:00:fd:19:56:d6:56:75:fc:e7:a7:fe:1a:f9:fe:a6:c7:fe:af:65:ff:85:39:fb:f8:50,b'\x12Ec\x11\x05\x00\x00\x00\xc0\x00\x00\xfd\x19V\xd6Vu\xfc\xe7\xa7\xfe\x1a\xf9\xfe\xa6\xc7\xfe\xafe\xff\x859\xfb\xf8P'
5,200,b'\xb2Tc\x11\x06\x00\x00\x00\xc0\x00\x00\xfd\x08\xd0\xd6/\xb0\xfc\xe2\xf1\xfe\x14\x10\xfe\xa4\x90\xfe\xa91\xff\x7f\x08\xfb\xf2]',291722418,6,12582912,0,0,0,12,"[-194352, -2740304, -204047, -125936, -88944, -87759, -33016, -265635]",b2:54:63:11:06:00:00:00:c0:00:00:fd:08:d0:d6:2f:b0:fc:e2:f1:fe:14:10:fe:a4:90:fe:a9:31:ff:7f:08:fb:f2:5d,b'\xb2Tc\x11\x06\x00\x00\x00\xc0\x00\x00\xfd\x08\xd0\xd6/\xb0\xfc\xe2\xf1\xfe\x14\x10\xfe\xa4\x90\xfe\xa91\xff\x7f\x08\xfb\xf2]'
6,200,b'Mdc\x11\x07\x00\x00\x00\xc0\x00\x00\xfd\x04U\xd6\x12N\xfc\xe6\xc1\xfe\x14@\xfe\xa9\x9e\xfe\xa9\x84\xff\x7fP\xfb\xf2\xef',291726413,7,12582912,0,0,0,12,"[-195499, -2747826, -203071, -125888, -87650, -87676, -32944, -265489]",4d:64:63:11:07:00:00:00:c0:00:00:fd:04:55:d6:12:4e:fc:e6:c1:fe:14:40:fe:a9:9e:fe:a9:84:ff:7f:50:fb:f2:ef,b'Mdc\x11\x07\x00\x00\x00\xc0\x00\x00\xfd\x04U\xd6\x12N\xfc\xe6\xc1\xfe\x14@\xfe\xa9\x9e\xfe\xa9\x84\xff\x7fP\xfb\xf2\xef'
7,200,b'\xedsc\x11\x08\x00\x00\x00\xc0\x00\x00\xfd\x0b\xc9\xd5\xfe\x1d\xfc\xf2\xaf\xfe\x1b\xb6\xfe\xb5\xd0\xfe\xb0\x98\xff\x85\xd9\xfb\xf9\x82',291730413,8,12582912,0,0,0,12,"[-193591, -2752995, -200017, -123978, -84528, -85864, -31271, -263806]",ed:73:63:11:08:00:00:00:c0:00:00:fd:0b:c9:d5:fe:1d:fc:f2:af:fe:1b:b6:fe:b5:d0:fe:b0:98:ff:85:d9:fb:f9:82,b'\xedsc\x11\x08\x00\x00\x00\xc0\x00\x00\xfd\x0b\xc9\xd5\xfe\x1d\xfc\xf2\xaf\xfe\x1b\xb6\xfe\xb5\xd0\xfe\xb0\x98\xff\x85\xd9\xfb\xf9\x82'
8,200,b'\x8d\x83c\x11\t\x00\x00\x00\xc0\x00\x00\xfd\x07\x89\xd5\xe0b\xfc\xf4\x01\xfe\x1d\x18\xfe\xba\xf8\xfe\xb16\xff\x86\x08\xfb\xf9\xbf',291734413,9,12582912,0,0,0,12,"[-194679, -2760606, -199679, -123624, -83208, -85706, -31224, -263745]",8d:83:63:11:09:00:00:00:c0:00:00:fd:07:89:d5:e0:62:fc:f4:01:fe:1d:18:fe:ba:f8:fe:b1:36:ff:86:08:fb:f9:bf,b'\x8d\x83c\x11\t\x00\x00\x00\xc0\x00\x00\xfd\x07\x89\xd5\xe0b\xfc\xf4\x01\xfe\x1d\x18\xfe\xba\xf8\xfe\xb16\xff\x86\x08\xfb\xf9\xbf'
9,200,"b',\x93c\x11\n\x00\x00\x00\xc0\x00\x00\xfc\xf5\xe8\xd5\xb8\n\xfc\xeb\xbc\xfe\x16\xc0\xfe\xb85\xfe\xaad\xff\x7fa\xfb\xf3V'",291738412,10,12582912,0,0,0,12,"[-199192, -2770934, -201796, -125248, -83915, -87452, -32927, -265386]",2c:93:63:11:0a:00:00:00:c0:00:00:fc:f5:e8:d5:b8:0a:fc:eb:bc:fe:16:c0:fe:b8:35:fe:aa:64:ff:7f:61:fb:f3:56,"b',\x93c\x11\n\x00\x00\x00\xc0\x00\x00\xfc\xf5\xe8\xd5\xb8\n\xfc\xeb\xbc\xfe\x16\xc0\xfe\xb85\xfe\xaad\xff\x7fa\xfb\xf3V'"
